wavelength,real_1,real_2,real_3,real_4,real_5,real_6,real_7,real_8,real_9,real_10
406.15,2,1.95,1.09,1.11,1.39,1.48,1.33,0.61,1,1.15
406.512,2.03,1.89,1.03,1,1.36,1.44,1.27,0.53,0.96,1.07
406.873,2,1.9,1.01,1.02,1.32,1.49,1.2,0.55,0.98,1.06
407.234,1.99,1.92,1.04,0.96,1.28,1.5,1.24,0.59,1.05,1.08
407.596,2.01,1.91,1.06,0.95,1.27,1.49,1.25,0.52,1.01,1.07
407.957,1.93,1.9,1.04,0.92,1.27,1.43,1.23,0.44,1.02,1.03
408.318,1.96,1.88,1.04,0.92,1.29,1.41,1.23,0.47,1.01,1.02
408.679,1.97,1.84,1.04,0.97,1.24,1.43,1.21,0.48,0.96,0.97
409.04,2.06,1.88,1.09,1.04,1.3,1.47,1.31,0.54,1.03,0.98
409.401,2.12,1.9,1.12,1.08,1.29,1.54,1.35,0.6,1.01,1
409.762,2.06,1.85,1.08,0.97,1.28,1.52,1.28,0.57,0.97,0.92
410.123,2.03,1.85,1.1,0.92,1.29,1.49,1.22,0.62,1.01,0.88
410.484,2.03,1.92,1.13,1,1.37,1.55,1.31,0.73,1.06,0.98
410.845,2.03,1.92,1.16,1,1.41,1.5,1.34,0.75,1.03,0.96
411.206,2.04,1.93,1.15,1.02,1.45,1.58,1.32,0.72,1.01,0.94
411.567,2.03,1.99,1.12,1.04,1.46,1.57,1.32,0.78,1.01,0.92
411.927,2.09,2.04,1.1,1.07,1.47,1.65,1.28,0.86,0.98,0.88
412.288,2.07,2.05,1.11,1.07,1.44,1.61,1.24,0.84,0.94,0.89
412.649,2.37,2.38,1.31,1.31,2.01,2.09,1.62,1.27,1.42,1.19
413.009,2.34,2.43,1.32,1.36,2.05,2.1,1.6,1.31,1.37,1.24
413.37,2.32,2.42,1.32,1.31,2.07,2.09,1.56,1.3,1.36,1.23
413.731,2.36,2.46,1.36,1.35,2.1,2.08,1.59,1.33,1.4,1.26
414.091,2.33,2.49,1.36,1.4,2.1,2.1,1.62,1.29,1.36,1.28
414.452,2.32,2.48,1.35,1.36,2.07,2.1,1.61,1.24,1.33,1.23
