wavelength,fac_1,fac_2,fac_3,fac_4,fac_5,fac_6,fac_7,fac_8,fac_9,fac_10
455.623,6.06,6.65,6.21,6.97,5.57,6.78,3.64,8.3,6.57,4.82
455.978,6.08,6.63,6.27,6.92,5.52,6.77,3.61,8.33,6.6,4.82
456.334,6.07,6.67,6.29,6.91,5.55,6.84,3.61,8.36,6.6,4.82
456.689,6.08,6.61,6.24,6.87,5.5,6.84,3.57,8.32,6.6,4.84
457.045,6.1,6.65,6.23,6.87,5.57,6.83,3.54,8.34,6.56,4.82
457.4,6.09,6.63,6.17,6.89,5.55,6.82,3.59,8.36,6.56,4.82
457.755,6.17,6.63,6.18,6.9,5.56,6.85,3.65,8.37,6.58,4.87
458.111,6.27,6.69,6.2,6.87,5.55,6.9,3.7,8.4,6.55,4.92
458.466,6.28,6.71,6.14,6.9,5.58,6.92,3.72,8.37,6.54,4.96
458.821,6.34,6.73,6.17,6.92,5.6,6.98,3.8,8.42,6.56,5
459.176,6.32,6.7,6.14,6.91,5.59,7.02,3.75,8.41,6.56,5.05
459.531,6.34,6.69,6.12,6.85,5.53,6.99,3.74,8.41,6.54,5.03
459.886,6.28,6.71,6.06,6.87,5.54,7,3.77,8.4,6.46,5.03
460.242,6.29,6.69,6,6.91,5.52,6.95,3.72,8.38,6.45,5.01
460.597,6.3,6.75,5.98,6.91,5.53,6.93,3.76,8.4,6.46,5.05
460.951,6.26,6.72,6,6.9,5.5,6.9,3.76,8.37,6.48,5
461.306,6.2,6.71,5.99,6.9,5.49,6.88,3.66,8.37,6.45,5
461.661,6.22,6.75,5.99,6.9,5.53,6.88,3.67,8.42,6.47,5.01
462.016,6.19,6.7,6,6.91,5.51,6.88,3.65,8.38,6.46,4.97
462.371,6.16,6.71,6.01,6.85,5.48,6.87,3.59,8.37,6.47,4.98
462.726,6.09,6.69,5.97,6.83,5.46,6.84,3.56,8.24,6.46,4.93
463.08,6.12,6.74,6.01,6.87,5.48,6.84,3.6,8.27,6.45,4.94
463.435,6.22,6.73,6.02,6.94,5.53,6.89,3.66,8.33,6.45,5.03
463.79,6.31,6.74,6.04,6.91,5.56,6.89,3.67,8.36,6.5,5.06
464.144,6.32,6.69,6.07,6.84,5.51,6.86,3.68,8.35,6.49,5.04
