wavelength,fac_1,fac_2,fac_3,fac_4,fac_5,fac_6,fac_7,fac_8,fac_9,fac_10
697.099,30.15,26.01,22.44,21.5,23.32,19,6.75,11.5,12.38,8.74
697.423,30.33,26.08,22.44,21.55,23.41,18.96,6.7,11.47,12.44,8.77
697.748,30.4,26,22.54,21.63,23.43,18.75,6.58,11.34,12.22,8.8
698.072,30.54,25.96,22.46,21.67,23.43,18.73,6.62,11.57,12.27,8.88
698.396,30.47,25.91,22.46,21.56,23.57,18.58,6.56,11.38,12.26,9.01
698.72,30.26,25.96,22.31,21.39,23.64,18.48,6.36,11.15,12.14,8.97
699.044,30.21,26,22.34,21.32,23.64,18.3,6.34,10.98,12.12,8.94
699.368,30.27,25.81,22.24,21.14,23.4,18.13,6.19,10.91,11.93,8.9
699.692,30.43,25.82,22.11,21.36,23.04,18.2,6.12,11.11,11.96,8.96
700.016,30.16,25.5,22.05,21.25,22.65,17.97,5.87,10.85,11.79,8.82
700.34,29.98,25.59,22.1,21.23,22.49,18.03,5.8,10.79,11.88,8.9
700.664,30.12,25.78,22.12,21.28,22.6,18.26,5.65,10.86,11.96,8.85
700.987,29.99,25.71,22.02,21.26,22.56,18.3,5.66,10.75,11.91,8.89
